ID,Area,City,Restaurant,Price,Avg ratings,Total ratings,Food type,Address,Delivery time,normalized_rating,normalized_price,Taste,Quality
1,film nagar,hyderabad,little italy,1200,4.1,100,"pizzas,salads,combo,italian,mexican,desserts,beverages",road no 92,71,0.82,0.705882353,3.4,4.2
2,film nagar,hyderabad,so. the sky kitchen,800,2.9,80,"mughlai,north indian,chinese,thai,asian",near apollo health city gate,90,0.58,0.470588235,4.9,3.2
3,masab tank,hyderabad,dine hill,400,4.1,500,"arabian,biryani,north indian,chinese",ahmed nagar,49,0.82,0.235294118,4.3,3.1
4,banjara hills,hyderabad,sarvi restaurant,400,4.1,5000,"biryani,tandoor,chinese,indian,desserts,kebabs,mughlai",road 11,56,0.82,0.235294118,4,3.9
5,banjara hills,hyderabad,sarvi bakery,250,4.1,100,"desserts,fast food,bakery",opposite care hospital road 11 banjara hills,58,0.82,0.147058824,2.9,4.3
6,punjagutta,hyderabad,chutneys,500,4.2,1000,"north indian,chinese,south indian",road no 3,62,0.84,0.294117647,2.9,3.6
7,punjagutta,hyderabad,chinese pavilion,850,4.3,500,"chinese,seafood",nagarjuna circle,64,0.86,0.5,2.6,5
8,banjara hills,hyderabad,chef inam's steak house,1200,4.2,100,"steakhouse,american",sri ram nagar colony banjara hills,69,0.84,0.705882353,4.7,4.2
9,basheer bagh,hyderabad,cream stone,350,4.4,1000,"ice cream,desserts,beverages,ice cream cakes",liberty road,27,0.88,0.205882353,4,3.7
10,himayatnagar,hyderabad,dadu's mithai vatika,250,4.4,500,"sweets,street food,snacks,chaat,bakery",liberty road,34,0.88,0.147058824,4.3,3.5
11,ramgopalpet,hyderabad,aangan - yatri nivas,500,4.1,100,north indian  south indian,s p road,66,0.82,0.294117647,2.6,3.4
12,kalasiguda,hyderabad,bluefox,800,4.2,1000,biryani  north indian  chinese  tandoor,sd road,68,0.84,0.470588235,4.9,4.3
13,masab tank,hyderabad,agra sweets banjara,250,4.3,1000,"sweets,desserts,chaat,snacks,beverages",road no 1,46,0.86,0.147058824,4.6,3.6
14,kalasiguda,hyderabad,flavours of taj mahal hotel,300,4.2,1000,north indian  chinese  desserts  continental  south indian,sd road,57,0.84,0.176470588,3,2.6
15,adarsh nagar,hyderabad,ohri's eatmor,600,4.2,500,"ice cream,beverages,desserts,chaat,italian",new mla quarters,37,0.84,0.352941176,3,3.5
16,adarsh nagar,hyderabad,ohri's ming's court,500,4,1000,chinese,new mla quarters,39,0.8,0.294117647,3,4.3
17,himayatnagar,hyderabad,minerva coffee shop,500,4.3,1000,"south indian,north indian,chinese",himayath nagar road,30,0.86,0.294117647,3.3,3
18,himayatnagar,hyderabad,bluefox,800,4.1,1000,"biryani,north indian,chinese,tandoor",himayath nagar road,36,0.82,0.470588235,3.8,2.9
19,punjagutta,hyderabad,srikanya,250,4.1,1000,"andhra,seafood",punjagutta road,56,0.82,0.147058824,3.6,3.8
20,koti,hyderabad,sri narsing bhelpuri & juice centre (bogulkunta),150,4.2,1000,"chaat,italian,juices",tilak road,31,0.84,0.088235294,3.2,3.8
21,banjara hills,hyderabad,keshav reddy sweets,150,4.2,500,"sweets,bakery,desserts,fast food,street food,chaat",road no 2,65,0.84,0.088235294,4,4.1
22,banjara hills,hyderabad,house of dosas,200,4.3,500,south indian,road no 2,63,0.86,0.117647059,2.8,4.6
23,basheer bagh,hyderabad,mai ki rasoi,200,4.5,1000,north indian,himayathnagar road,32,0.9,0.117647059,3.2,4.3
24,somajiguda,hyderabad,ice n spice (hotel inner circle),450,4.1,20,indian  chinese  tandoor  south indian,raj bhavan road,55,0.82,0.264705882,3.4,4
25,karkhana,hyderabad,oh so stoned,300,3.9,100,ice cream  desserts,vikrampuri colony,68,0.78,0.176470588,3.6,4.3
26,koti,hyderabad,grand hotel,300,4.1,10000,"biryani,tandoor,chinese,indian,kebabs,desserts",abids road,24,0.82,0.176470588,4.5,3.3
27,ramgopalpet,hyderabad,anand bhavan,150,3.7,100,north indian  south indian,pg road,59,0.74,0.088235294,3,3.4
28,dilsukhnagar,hyderabad,tipsy topsy,250,3.7,500,chinese  italian  desserts  bakery  fast food,dilsukhnagar main road,39,0.74,0.147058824,3.8,3.1
29,nagole,hyderabad,hotel swagath grand - dhanturi group of hotels,300,3.9,1000,"biryani,chinese,south indian,north indian,tandoor",alkapuri x roads,67,0.78,0.176470588,4,3.2
30,chandrapuri colony,hyderabad,hotel sitara grand - dhanturi group of hotels,300,3.8,1000,"biryani,chinese,south indian,north indian,tandoor",l b nagar,70,0.76,0.176470588,2.6,4.1
31,kothapet,hyderabad,nakshatra inn multi cuisine restaurant,300,3.8,100,"biryani,chinese,north indian,south indian",lakshmi nagar colony,52,0.76,0.176470588,4,2.7
32,narayanguda,hyderabad,mehfil,300,3.9,10000,"biryani,tandoor,chinese,indian,kebabs,desserts",narayanguda,25,0.78,0.176470588,2.9,3.6
33,himayatnagar,hyderabad,crystal restaurant,350,3.9,1000,"biryani,north indian,chinese",rtc x roads,34,0.78,0.205882353,2.7,3.6
34,new nallakunta,hyderabad,bawarchi,300,3.9,10000,"biryani,tandoor,chinese,indian,desserts,kebabs,mughlai",rtc x roads,27,0.78,0.176470588,4.9,3.7
35,begumpet,hyderabad,nrs cafe nandini,150,4.3,1000,south indian  juices  indian,begumpet main road,65,0.86,0.088235294,4.9,3.6
36,adikmet,hyderabad,us pizza,200,3.2,20,"italian,pizzas,fast food,beverages,desserts",o.u road,48,0.64,0.117647059,4.5,3.3
37,amberpet,hyderabad,surabhi grand,300,4,500,"mughlai,north indian,chinese,seafood",tilaknagar,45,0.8,0.176470588,3.3,3.6
38,himayatnagar,hyderabad,bluedragon by mandilicious,300,4.2,20,chinese,himayathnagar,34,0.84,0.176470588,2.7,4.7
39,adikmet,hyderabad,frosty den,200,2.2,20,"ice cream,pizzas,fast food,beverages,desserts",o.u road,43,0.44,0.117647059,4.2,4.9
40,banjara hills,hyderabad,sitara grand - nizami pakwaan,300,3.6,100,"biryani,chinese,south indian,north indian,tandoor",road no 12,62,0.72,0.176470588,3.6,3.8
41,lakdikapul,hyderabad,chicha's,200,3.8,500,"biryani,hyderabadi,indian,street food",p & t officers colony,40,0.76,0.117647059,2.8,4.1
42,kothapet,hyderabad,kinara grand,750,3.9,1000,"north indian,chinese,biryani",ashta laxmi temple,58,0.78,0.441176471,3.7,2.8
43,basheer bagh,hyderabad,meghacity,500,4.4,1000,"north indian,chinese",basheerbagh x road,32,0.88,0.294117647,2.6,3.3
44,punjagutta,hyderabad,zyqa restaurant,200,4,500,"north indian,biryani,chinese",punjagutta,55,0.8,0.117647059,4.8,3.5
45,somajiguda,hyderabad,jai durga maa vaishno dhabha,150,4.1,100,"punjabi,north indian",somajiguda,55,0.82,0.088235294,3.1,4.7
46,himayatnagar,hyderabad,sahara bakers,200,3.8,500,"bakery,pizzas",chikadpally,34,0.76,0.117647059,4.2,3.1
47,koti,hyderabad,tibbs frankie,150,4.3,100,snacks,hanuman tekdi road,29,0.86,0.088235294,3.3,3.7
48,abids,hyderabad,agrawala sweets,250,4.3,100,"sweets,fast food",jn road,27,0.86,0.147058824,3.8,5
49,koti,hyderabad,bombay juice,200,4.2,500,"chaat,chinese,juices",sultan bazar,26,0.84,0.117647059,3.9,3.8
50,koti,hyderabad,santosh dhaba exclusive,300,4.1,1000,"north indian,biryani,chinese,italian,mexican,desserts",hanuman tekdi,30,0.82,0.176470588,3,4
51,himayatnagar,hyderabad,angaara,250,3.9,100,"indian,chinese,tandoor",street 4,33,0.78,0.147058824,4.9,2.8
52,himayatnagar,hyderabad,almond house,800,4.6,500,"sweets,desserts,snacks",himayath nagar road,29,0.92,0.470588235,4.4,4.6
53,koti,hyderabad,taj mahal-abids,300,4.3,1000,"north indian,chinese,south indian",abids road,34,0.86,0.176470588,4.8,4
54,khairtabad,hyderabad,paradise biryani,400,3.9,100,biryani  north indian  chinese,imax road,48,0.78,0.235294118,4.7,3.9
55,new nallakunta,hyderabad,balaji family dhaba & caterers,450,3.9,1000,"north indian,chinese",vegetable market,33,0.78,0.264705882,4,3.4
56,punjagutta,hyderabad,akson restaurant,250,4.3,1000,"north indian,biryani,kerala",panjagutta road,53,0.86,0.147058824,4.8,3.3
57,habsiguda,hyderabad,taste of india,600,4.2,20,"north indian,chinese,continental",habsiguda main road,67,0.84,0.352941176,2.7,3.5
58,uppal,hyderabad,crunchy's,150,3.8,20,"italian,american",uppal ring road,72,0.76,0.088235294,3,4.2
59,koti,hyderabad,sri radhe chills and thrills,200,4.2,500,"italian,juices,fast food",abids,28,0.84,0.117647059,2.6,4.7
60,punjagutta,hyderabad,friends shawarma,200,4.3,100,lebanese,road no 3,61,0.86,0.117647059,3.3,3.8
61,west marredpally,hyderabad,triple a bakery,100,3.9,100,italian  bakery,west marredpally road,70,0.78,0.058823529,3.5,4.2
62,murad nagar,hyderabad,food zone 2,300,4,500,"mughlai,chinese,tandoor",guddimmalkapur road,46,0.8,0.176470588,3.2,4
63,redhills,hyderabad,rayalaseema ruchulu,450,4,500,"south indian,biryani,rayalaseema",lakdikapul,39,0.8,0.264705882,4.6,4.1
64,adarsh nagar,hyderabad,sri narsing bhelpuri & pav bhaji (himayathnagar),150,4.1,100,"chaat,italian",hyderabad nursing home lane,35,0.82,0.088235294,3.4,4.2
65,ramkote,hyderabad,sri balaji family dhaba - ramkote,200,4.1,1000,"punjabi,north indian,chinese",tilak road,26,0.82,0.117647059,3.2,4.6
66,toli chowki,hyderabad,new minerva sweets,250,4.3,1000,"sweets,chaat,desserts",surya nagar,62,0.86,0.147058824,3.9,2.7
67,somajiguda,hyderabad,kritunga restaurant,500,4,1000,"biryani,andhra,rayalaseema,south indian,north indian,chinese",somajiguda,52,0.8,0.294117647,2.9,4.4
68,basheer bagh,hyderabad,bikanervala,500,4.3,1000,sweets  north indian  chinese  south indian,hyderguda - basheerbagh road,35,0.86,0.294117647,4.5,3.1
69,murad nagar,hyderabad,bakers street,250,4.2,500,bakery  continental,gudimalkatur road,49,0.84,0.147058824,2.7,3
70,king koti,hyderabad,amay tiffin corner (amul),100,4.1,500,south indian,tilak road,29,0.82,0.058823529,5,3.9
71,banjara hills,hyderabad,bheemas grand,150,4.1,1000,south indian,road no 10,50,0.82,0.088235294,4.4,2.7
72,shivaji nagar,hyderabad,spice garden (royal reve hotel),600,4.2,100,north indian  chinese  continental,sd road,66,0.84,0.352941176,3,4.7
73,koti,hyderabad,scoops,200,4.5,500,"ice cream,desserts,beverages",koti main road,20,0.9,0.117647059,2.5,4.1
74,kachiguda,hyderabad,urban munchies,150,2.9,80,"ice cream,desserts",adikmet vidyanagar,42,0.58,0.088235294,4.5,4.3
75,banjara hills,hyderabad,radisson blu plaza delivery,1200,3.7,20,"chinese,biryani,north indian",road no 6,82,0.74,0.705882353,4.3,2.5
76,lakdikapul,hyderabad,shahji ka dhaba,400,4.3,100,"north indian,chinese",veer nagar,44,0.86,0.235294118,4.3,4
77,masab tank,hyderabad,madhur sweets,250,4.4,1000,"sweets,desserts",humayun nagar,42,0.88,0.147058824,4.4,3.9
78,banjara hills,hyderabad,karachi bakery banjara,200,4.1,1000,"bakery,pizzas,snacks,chinese,italian,american,sweets,desserts,beverages",road no 1,56,0.82,0.117647059,2.7,2.9
79,dilsukhnagar,hyderabad,desi pizza,200,3.9,20,pizzas,p and t colony road,50,0.78,0.117647059,3.4,2.9
80,kachiguda,hyderabad,rambharose - bhattad ki idli,150,4.2,1000,south indian,kutbi guda,27,0.84,0.088235294,2.8,4.2
81,habsiguda,hyderabad,suruchi - the family restaurant,500,4.2,500,"biryani,north indian,chinese",habsiguda circle,58,0.84,0.294117647,4.7,3.3
82,narayanguda,hyderabad,taj mahal hotel,300,4.2,1000,"north indian,chinese,south indian,tandoor",narayanaguda main road,32,0.84,0.176470588,4.1,4.2
83,himayatnagar,hyderabad,subway,350,4.3,500,"fast food,salads,snacks,desserts,beverages",himayath nagar road,33,0.86,0.205882353,3.3,3.9
84,kothapet,hyderabad,kritunga restaurant,500,4,1000,"biryani,andhra,rayalaseema,south indian,north indian,chinese",dilsukhnagar main road,49,0.8,0.294117647,2.7,3.5
85,masab tank,hyderabad,cafe 555 & aqeeq restaurant,300,3.9,5000,"biryani,north indian,chinese",owaisi pura,46,0.78,0.176470588,3.3,4.8
86,banjara hills,hyderabad,shadab go,500,4.1,1000,"north indian,biryani,chinese",road no 3,68,0.82,0.294117647,3.3,4.6
87,himayatnagar,hyderabad,eagles pizza,150,3.7,500,pizzas,himayathnagar road,32,0.74,0.088235294,4.3,3.4
88,gaddiannaram,hyderabad,delicious dosa,100,4,500,south indian,p & t colony x roads,47,0.8,0.058823529,4.1,2.6
89,madhura nagar,hyderabad,rk sweets and juices,200,4.2,50,sweets  desserts  bakery  beverages,madhuranagar,63,0.84,0.117647059,4.7,3.3
90,basheer bagh,hyderabad,rahul tiffins,150,3.7,100,south indian,street no 19,34,0.74,0.088235294,3.7,3.5
91,himayatnagar,hyderabad,govind dosa,250,4.3,500,south indian,near brand factory,33,0.86,0.147058824,2.8,4.3
92,new nallakunta,hyderabad,new astoria restaurant,450,3.8,100,"chinese,biryani",rtc cross road,34,0.76,0.264705882,4.3,5
93,koti,hyderabad,royal tiffin centre,150,3.8,1000,south indian,hanuman tekdi,32,0.76,0.088235294,4.4,3.4
94,banjara hills,hyderabad,exotica,1000,4.5,500,"indian,chinese,north indian,punjabi,tandoor,kebabs,biryani,seafood,oriental,desserts,sweets,beverages,combo",nbt nagar,65,0.9,0.588235294,3.9,4.4
95,habsiguda,hyderabad,blr food kourt,250,4.1,20,"biryani,chinese,north indian",vasanth vihar colony,63,0.82,0.147058824,4.4,4
96,koti,hyderabad,palace heights,1700,3.8,50,"north indian,chinese,biryani,continental,mughlai",palace heights lane,44,0.76,1,3.7,4.2
97,nagole,hyderabad,amaravathi family restaurant,500,4.1,500,"indian,chinese,tandoor",nagole road,69,0.82,0.294117647,3.8,2.9
98,kothapet,hyderabad,spicy hub,500,4,1000,"north indian,chinese",kothapet - r.k puram road,51,0.8,0.294117647,3.6,3.5
99,huda complex,hyderabad,papadams blue,500,3.9,1000,"biryani,chinese,andhra,north indian,south indian,tandoor",kothapet cross road,53,0.78,0.294117647,2.6,3.1
100,huda complex,hyderabad,papadams restaurant,500,3.8,1000,"biryani,chinese,andhra,north indian,south indian,tandoor",kothapet road,54,0.76,0.294117647,2.8,3.4
101,kachiguda,hyderabad,cafe coffee day,300,4.5,20,"beverages,snacks,desserts",kachiguda railway station,36,0.9,0.176470588,2.6,3.8
102,basheer bagh,hyderabad,cafe coffee day,300,4.1,100,beverages  snacks  desserts,sri siva rama towers,40,0.82,0.176470588,4.1,4.2
103,gudimalkapur,hyderabad,sri balaji family dhaba,300,3.9,100,north indian,gudi malkapur,50,0.78,0.176470588,3.3,2.8
104,masab tank,hyderabad,fancy ice cream,150,3.9,20,desserts,vijay nagar colony,38,0.78,0.088235294,3.8,2.8
105,dilsukhnagar,hyderabad,sahadeva reddy pure ghee sweets,400,4.3,100,sweets,dilsukhnagar main road,39,0.86,0.235294118,4.8,3.3
106,musheerabad,hyderabad,hotel sandarshini,200,4,100,north indian  chinese  south indian,musheerabad main road,36,0.8,0.117647059,3.1,4.2
107,dilsukhnagar,hyderabad,the shawarma's,200,4.1,50,lebanese,p and t colony,47,0.82,0.117647059,3.5,4.6
108,dilsukhnagar,hyderabad,a-1 chicken pakoda,250,4.1,500,"biryani,chinese,mughlai",shalivahana nagar,41,0.82,0.147058824,4.4,3.9
109,somajiguda,hyderabad,verandah-the park hyderabad,550,4,50,"indian,chinese,biryani,snacks,desserts",raj bhavan road,58,0.8,0.323529412,3.1,4.6
110,banjara hills,hyderabad,dunkin donuts,250,4.3,500,"desserts,bakery,beverages,fast food,combo",road no.1,52,0.86,0.147058824,2.7,3.5
111,basheer bagh,hyderabad,makers of milkshakes,260,4.2,100,beverages  desserts,king koti road,33,0.84,0.152941176,3.2,3.3
112,abids,hyderabad,hameedi confectioners,300,4.4,100,sweets,aphb colony,34,0.88,0.176470588,2.9,3.4
113,banjara hills,hyderabad,haiku,1500,4.4,100,"japanese,asian,thai",road no 12,75,0.88,0.882352941,4.8,2.9
114,nampally,hyderabad,lakshman ki bandi,150,4.3,100,south indian,ghoshamahal,36,0.86,0.088235294,4.5,4.6
115,nampally,hyderabad,al-tazaj fried chicken,200,4,20,"italian,beverages,fast food",mallepally,51,0.8,0.117647059,4.1,3.3
116,banjara hills,hyderabad,flying spaghetti monster,1500,4.3,100,"italian,pizzas",green valley,76,0.86,0.882352941,4.7,3.9
117,gaddi annaram,hyderabad,hungry kya pet barlo,300,2.9,80,"street food,south indian",gaddi annaram,69,0.58,0.176470588,4.5,3.9
118,himayatnagar,hyderabad,mcdonald's,400,4.2,1000,"american,fast food",himayat nagar,33,0.84,0.235294118,3,3.8
119,uppal,hyderabad,gayathri tiffins,200,3.9,100,south indian,habsiguda,61,0.78,0.117647059,4.7,2.5
120,krishna nagar colony,hyderabad,sri raghavendra udupi veg,200,4,1000,south indian,saroor nagar road,55,0.8,0.117647059,3.8,5
121,jyothi nagar,hyderabad,sindhura east court,300,3.7,20,"north indian,chinese,south indian,tandoor",raghavendra nagar,65,0.74,0.176470588,4.5,4.8
122,punjagutta,hyderabad,meridian restaurant,400,4.1,5000,"biryani,chinese,north indian,kebabs",panjagutta main road,53,0.82,0.235294118,4.7,3
123,khairtabad,hyderabad,barista,350,2.9,80,"beverages,snacks",prasad i max,58,0.58,0.205882353,3.3,3.2
124,tarnaka,hyderabad,ayaan's bbq & mataam mandi,400,4.1,20,arabian  biryani  mughlai,tarnaka main road,67,0.82,0.235294118,2.8,3.8
125,mehdipatnam,hyderabad,italian pizzeria creamato,400,4.2,50,"italian,desserts,american",gudi malkapur road,56,0.84,0.235294118,3.1,4.8
126,toli chowki,hyderabad,mr. faddy,300,4.2,1000,american,janaki nagar colony,65,0.84,0.176470588,3.6,5
127,banjara hills,hyderabad,aromas of asia,1000,4.1,50,"pan-asian,chinese",road no 1,62,0.82,0.588235294,4.5,3.1
128,new nallakunta,hyderabad,pista house,200,4.3,1000,"bakery,pizzas,snacks,desserts",chikkadapalli road,30,0.86,0.117647059,4.7,3.9
129,himayath nagar,hyderabad,lazeez khaana,350,2.9,80,"chinese,biryani,mughlai,north indian,haleem",railway quarters,37,0.58,0.205882353,2.5,4.5
130,khairtabad,hyderabad,dwaraka restaurant,250,4.2,1000,"north indian,chinese,south indian",opposite global hospital,37,0.84,0.147058824,3.8,3.5
131,redhills,hyderabad,cafe niloufer classic,150,4.5,1000,bakery,lakdikapul,35,0.9,0.088235294,3.5,4.3
132,kothapet,hyderabad,sivarama reddy sweets,500,4.3,100,sweets,behind bus stop,48,0.86,0.294117647,3.1,2.9
133,banjara hills,hyderabad,sahib sindh sultan,1000,4.2,50,"north indian,biryani",city center mall,66,0.84,0.588235294,2.8,4
134,banjara hills,hyderabad,ofen,300,4.3,100,"european,italian,continental,desserts",banjara hills,59,0.86,0.176470588,3.3,4.7
135,kachiguda,hyderabad,domino's pizza,400,4.4,100,pizzas,kachiguda main road,30,0.88,0.235294118,4.9,5
136,koti,hyderabad,krupa mess & tiffins,200,3.6,500,south indian,jn road,39,0.72,0.117647059,3.3,2.7
137,kavadiguda,hyderabad,aamantran pure veg,450,4.2,1000,north indian  chinese  south indian  jain,golkonda cross road,37,0.84,0.264705882,3.8,3.6
138,kachiguda,hyderabad,sri amul tiffins centre,200,4.3,20,south indian,badi chowdi,32,0.86,0.117647059,4.3,3
